algorithm,matrix_size,tile_size,threads,case,PKG1,PKG2,DRAM1,DRAM2,time
dcesca,24576,2048,32,28,46043828,38467126,10480561,2671044,0.537100
dcesca,24576,2048,32,29,44561104,38894310,10596796,2713088,0.541600
dcesca,24576,2048,32,30,45302252,39257224,10598739,2778235,0.550600
dcesca,24576,2048,32,31,42364272,35688995,10647439,2726398,0.545600
dcesca,24576,2048,32,32,41919449,35244294,10544607,2712506,0.539900
dcesca,24576,2048,32,33,51951954,48410704,9878215,2486173,0.500600
dcesca,24576,2048,32,34,61447413,57352209,10484830,3352107,0.528900
dcesca,24576,2048,32,35,65135880,57469396,10599978,3888373,0.536400
dcesca,24576,2048,32,36,63468588,55809245,10370815,3800321,0.523900
dcesca,24576,2048,32,37,58419833,54036239,10358956,3825856,0.527500
dcesca,24576,2048,32,38,54378340,53150804,10616012,3885404,0.537100
dcesca,24576,2048,32,39,48969174,44187569,10819792,3109633,0.551300
dcesca,24576,2048,32,40,46677309,41533158,10273322,2593824,0.524000
dcesca,24576,2048,32,41,59069551,52931261,10356096,3210444,0.524200
dcesca,24576,2048,32,42,70261844,63446615,10488028,3825168,0.529500
dcesca,24576,2048,32,43,64689287,57477087,10510013,3842442,0.531600
dcesca,24576,2048,32,44,63816304,57522985,10439496,3810190,0.526900
dcesca,24576,2048,32,45,59148164,54800214,10543184,3907544,0.538200
dcesca,24576,2048,32,46,55111065,53325303,10601431,3913511,0.539900
dcesca,24576,2048,32,47,48551694,43291210,10698143,3104171,0.544500
dcesca,24576,2048,32,48,47558350,41935745,10518245,2643519,0.535300
dcesca,24576,2048,32,49,47742553,41218461,10299211,3140050,0.520200
dcesca,24576,2048,32,50,47966124,41165422,10324226,2552698,0.525800
dcesca,24576,2048,32,51,46211674,38275964,10566869,2623920,0.535600
dcesca,24576,2048,32,52,45213874,37405910,10322374,2567845,0.525100
dcesca,24576,2048,32,53,45122504,39055503,10709786,2683298,0.547500
dcesca,24576,2048,32,54,44340402,38775657,10577395,2630666,0.539000
dcesca,24576,2048,32,55,41980239,35208223,10563196,2625557,0.538600
dcesca,24576,2048,32,56,42239272,35436677,10585580,2664556,0.544400
dcesca,24576,2048,32,57,48673825,42029982,10578925,2649425,0.534800
dcesca,24576,2048,32,58,47982665,41319475,10432076,2627316,0.529600
dcesca,24576,2048,32,59,46255496,38269677,10563869,2617707,0.537800
dcesca,24576,2048,32,60,45284003,37611537,10395447,2593365,0.528200
dcesca,24576,2048,32,61,44698127,38881553,10631679,2687399,0.543000
dcesca,24576,2048,32,62,43655284,37845667,10360671,2562934,0.528200
dcesca,24576,2048,32,63,41391740,34946322,10423308,2618901,0.531700
dcesca,24576,2048,32,64,41824783,35070467,10561560,2646533,0.539300
dcesca,24576,2048,32,65,54697003,48597654,10486329,2583711,0.529900
dcesca,24576,2048,32,66,62560936,56817421,10429964,3335537,0.527500
dcesca,24576,2048,32,67,63358053,57632665,10375833,3779514,0.523200
dcesca,24576,2048,32,68,63266073,54450605,10323645,3771006,0.523000
dcesca,24576,2048,32,69,58409030,51762624,10497835,3845242,0.532300
dcesca,24576,2048,32,70,54120467,50796073,10417801,3813525,0.527600
dcesca,24576,2048,32,71,48050475,42878369,10569744,3059572,0.537900
dcesca,24576,2048,32,72,47414857,42433058,10499992,2626459,0.532100
dcesca,24576,2048,32,73,59940032,56762550,10543398,3221706,0.532000
dcesca,24576,2048,32,74,69357000,64059345,10360135,3774020,0.522000
dcesca,24576,2048,32,75,64865130,55724101,10481127,3816723,0.528700
dcesca,24576,2048,32,76,62878440,57275854,10412522,3802707,0.524800
dcesca,24576,2048,32,77,58736483,57299048,10641166,3904483,0.539400
dcesca,24576,2048,32,78,55253582,54781965,10412002,3842274,0.529500
dcesca,24576,2048,32,79,47240236,42610853,10407473,3044685,0.530900
dcesca,24576,2048,32,80,47813354,42698743,10573723,2658849,0.536700
dcesca,24576,2048,32,81,48779538,42152114,10536758,3138459,0.534700
dcesca,24576,2048,32,82,48608274,42061293,10503588,2630682,0.533000
dcesca,24576,2048,32,83,46110050,38198084,10483728,2638561,0.535000
dcesca,24576,2048,32,84,45830022,38042505,10485381,2617019,0.532800
dcesca,24576,2048,32,85,43180249,37711573,10218580,2580085,0.522900
dcesca,24576,2048,32,86,44740730,38921409,10604384,2695171,0.544300
dcesca,24576,2048,32,87,42221511,35479036,10622056,2675664,0.542200
dcesca,24576,2048,32,88,41965957,35278718,10548860,2657442,0.541400
dcesca,24576,2048,32,89,48125975,41592301,10373522,2600526,0.527200
dcesca,24576,2048,32,90,48640074,41590287,10455653,2617907,0.534700
dcesca,24576,2048,32,91,44673591,37324917,10239938,2551933,0.518900
dcesca,24576,2048,32,92,45108161,37437709,10322145,2590918,0.524200
dcesca,24576,2048,32,93,45382452,39127525,10842391,2698538,0.549600
dcesca,24576,2048,32,94,45091499,38969261,10702671,2684248,0.546400
dcesca,24576,2048,32,95,42397413,35739167,10682444,2700435,0.546400
dcesca,24576,2048,32,96,41708145,34811007,10469484,2625434,0.534800
dcesca,24576,2048,32,97,53893538,49173092,10372696,2630972,0.527500
dcesca,24576,2048,32,98,59184907,55762248,10468719,3322273,0.527300
dcesca,24576,2048,32,99,64222248,57229773,10538992,3856870,0.532900
dcesca,24576,2048,32,100,63597128,57006079,10427470,3816126,0.525600
dcesca,24576,2048,32,101,60024078,56227517,10629568,3898516,0.537300
dcesca,24576,2048,32,102,58687716,51610525,10517587,3842518,0.530600
dcesca,24576,2048,32,103,48515195,43666636,10765998,3092390,0.545100
dcesca,24576,2048,32,104,48542662,43589549,10719486,2723859,0.549000
dcesca,24576,2048,32,105,57150183,52378772,10419805,3090921,0.525700
dcesca,24576,2048,32,106,69837345,63327230,10558285,3861307,0.533800
dcesca,24576,2048,32,107,63326742,54904583,10234782,3739076,0.516000
dcesca,24576,2048,32,108,63072165,55673259,10402180,3828336,0.528500
dcesca,24576,2048,32,109,58540805,52735522,10532642,3869890,0.533200
dcesca,24576,2048,32,110,54970013,50922416,10329106,3805217,0.524000
dcesca,24576,2048,32,111,47438599,42592908,10485580,3074932,0.531600
dcesca,24576,2048,32,112,49297665,44502754,10752259,2783712,0.562600
dcesca,24576,2048,32,113,49450435,42623182,10519454,3198374,0.539400
dcesca,24576,2048,32,114,49096615,42429335,10626539,2635945,0.540200
dcesca,24576,2048,32,115,44909248,38247827,10319605,2609583,0.524400
dcesca,24576,2048,32,116,44882149,37468715,10301321,2583390,0.522000
dcesca,24576,2048,32,117,43775279,37853846,10315612,2617280,0.526800
dcesca,24576,2048,32,118,44374093,38493005,10545694,2665199,0.536900
dcesca,24576,2048,32,119,42067824,35432466,10569348,2666744,0.540200
dcesca,24576,2048,32,120,42579969,35760163,10656190,2739434,0.549200
dcesca,24576,2048,32,121,48774106,41924270,10500696,2653755,0.535500
dcesca,24576,2048,32,122,49882197,42975476,10645449,2707611,0.551300
dcesca,24576,2048,32,123,46730288,38880638,10700254,2699517,0.545600
dcesca,24576,2048,32,124,45141059,37406459,10292325,2573322,0.523400
dcesca,24576,2048,32,125,44526375,38546350,10610213,2659384,0.539800
dcesca,24576,2048,32,126,44603279,38835838,10578756,2658252,0.541600
dcesca,24576,2048,32,127,42071914,35393219,10616242,2691928,0.541100
dcesca,24576,2048,32,128,42172316,35339082,10633209,2692218,0.542900
